co_id,year_quarter,account_code,account_name_cn,period_q_current,yoy_pct
1102,2025Q1,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,433208.0,
1102,2025Q1,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,411290.0,
1102,2025Q1,8360,後續可能重分類至損益之項目總額,2080421.0,
1102,2025Q1,8361,國外營運機構財務報表換算之兌換差額,1198630.0,
1102,2025Q1,8370,採用權益法認列之關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,881791.0,
1102,2025Q1,8500,本期綜合損益總額,4311455.0,
1102,2025Q1,8610,母公司業主（淨利／損）,1364290.0,
1102,2025Q1,8620,非控制權益（淨利／損）,22246.0,
1102,2025Q1,8710,母公司業主（綜合損益）,3961951.0,
1102,2025Q1,8720,非控制權益（綜合損益）,349504.0,
1102,2025Q1,9710,繼續營業單位淨利（淨損）,0.41,
1102,2025Q1,9750,基本每股盈餘合計,0.41,
1102,2025Q1,9810,繼續營業單位淨利（淨損）,0.41,
1102,2025Q1,9850,稀釋每股盈餘合計,0.41,
1102,2026Q1,4000,營業收入合計,14829491.0,-10.64
1102,2026Q1,5000,營業成本合計,12901356.0,-9.29
1102,2026Q1,5900,營業毛利（毛損）,1928135.0,-18.73
1102,2026Q1,5950,營業毛利（毛損）淨額,1928135.0,-18.73
1102,2026Q1,6000,營業費用合計,743962.0,-4.16
1102,2026Q1,6200,管理費用,755585.0,4.29
1102,2026Q1,6450,預期信用減損損失（利益）,-11623.0,-122.46
1102,2026Q1,6900,營業利益（損失）,1184173.0,-25.81
1102,2026Q1,7000,營業外收入及支出合計,957154.0,483.89
1102,2026Q1,7010,其他收入合計,260438.0,-31.1
1102,2026Q1,7020,其他利益及損失淨額,366016.0,317.24
1102,2026Q1,7050,財務成本淨額,403498.0,10.31
1102,2026Q1,7060,採用權益法認列之關聯企業及合資損益之份額淨額,499253.0,1349.29
1102,2026Q1,7100,利息收入合計,234945.0,-17.78
1102,2026Q1,7900,繼續營業單位稅前淨利（淨損）,2141327.0,21.66
1102,2026Q1,7950,所得稅費用（利益）合計,350025.0,-6.3
1102,2026Q1,8000,繼續營業單位本期淨利（淨損）,1791302.0,29.19
1102,2026Q1,8200,本期淨利（淨損）,1791302.0,29.19
1102,2026Q1,8300,其他綜合損益（淨額）,3885773.0,32.85
1102,2026Q1,8310,不重分類至損益之項目總額,-223871.0,-126.51
1102,2026Q1,8316,透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益,62428.0,-85.59
1102,2026Q1,8320,採用權益法認列之關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,-286299.0,-169.61
1102,2026Q1,8360,後續可能重分類至損益之項目總額,4109644.0,97.54
1102,2026Q1,8361,國外營運機構財務報表換算之兌換差額,2619824.0,118.57
