stock_id,stock_name,market,asset_type,isin_status,note
00669R,國泰美國道瓊反1,上市,equity,active,
00670L,富邦NASDAQ正2,上市,equity,active,
00671R,富邦NASDAQ反1,上市,equity,active,
00673R,期元大S&P原油反1,上市,commodity_futures,active,
00674R,期元大S&P黃金反1,上市,commodity_futures,active,
00675L,富邦臺灣加權正2,上市,equity,active,
00676R,富邦臺灣加權反1,上市,equity,active,
00678,群益那斯達克生技,上市,equity,active,
00679B,元大美債20年,上櫃,bond,active,skip
00680L,元大美債20正2,上市,bond,active,skip
00681R,元大美債20反1,上市,bond,active,skip
00682U,期元大美元指數,上市,currency,active,
00683L,期元大美元指正2,上市,equity,active,
00684R,期元大美元指反1,上市,equity,active,
00685L,群益臺灣加權正2,上市,equity,active,
00686R,群益臺灣加權反1,上市,equity,active,
00687B,國泰20年美債,上櫃,bond,active,skip
00687C,國泰20年美債+櫃U,上櫃,bond,active,skip
00688L,國泰20年美債正2,上市,bond,active,skip
00689R,國泰20年美債反1,上市,bond,active,skip
00690,兆豐藍籌30,上市,equity,active,
00692,富邦公司治理,上市,equity,active,
00693U,期街口S&P黃豆,上市,commodity_futures,active,
00694B,富邦美債1-3年,上櫃,bond,active,skip
00695B,富邦美債7-10年,上櫃,bond,active,skip
00696B,富邦美債20年,上櫃,bond,active,skip
00697B,元大美債7-10,上櫃,bond,active,skip
00700,富邦恒生國企,上市,equity,active,
00701,國泰股利精選30,上市,equity,active,
00702,國泰標普低波高息,上市,equity,active,
00703,台新MSCI中國,上市,equity,active,
00706L,期元大S&P日圓正2,上市,currency,active,
00707R,期元大S&P日圓反1,上市,currency,active,
00708L,期元大S&P黃金正2,上市,commodity_futures,active,
00709,富邦歐洲,上市,equity,active,
00710B,復華彭博非投等債,上市,bond,active,skip
00711B,復華彭博新興債,上市,bond,active,skip
00712,復華富時不動產,上市,equity,active,
00713,元大台灣高息低波,上市,equity,active,
00714,群益道瓊美國地產,上市,equity,active,
00715L,期街口S&P布蘭特油正2,上市,equity,active,
00717,富邦美國特別股,上市,equity,active,
00719B,元大美債1-3,上櫃,bond,active,skip
00720B,元大投資級公司債,上櫃,bond,active,skip
00722B,群益投資級電信債,上櫃,bond,active,skip
00723B,群益投資級科技債,上櫃,bond,active,skip
00724B,群益投資級金融債,上櫃,bond,active,skip
00725B,國泰投資級公司債,上櫃,bond,active,skip
00726B,國泰新興投等債,上櫃,bond,active,skip
00727B,國泰優選非投等債,上櫃,bond,active,skip
00728,第一金工業30,上市,equity,active,
00730,富邦臺灣優質高息,上市,equity,active,
00731,復華富時高息低波,上市,equity,active,
00733,富邦臺灣中小,上市,equity,active,
00734B,台新JPM新興債,上櫃,bond,active,skip
00735,國泰臺韓科技,上市,equity,active,
00736,國泰新興市場,上市,equity,active,
00737,國泰AI機器人,上市,equity,active,
00738U,期元大道瓊白銀,上市,commodity_futures,active,
00739,元大MSCI A股,上市,equity,active,
00740B,富邦全球投等債,上櫃,bond,active,skip
00741B,富邦全球非投等債,上櫃,bond,active,skip
00746B,富邦A級公司債,上櫃,bond,active,skip
