market,date,rank,code,name,trade_value,trade_volume_shares,closing_price,change,transactions
TWSE,2026-03-20,19,8046,南電,10929898691.0,20161280.0,541.0,20.0,25263.0
TWSE,2026-03-20,20,7769,鴻勁,10475384225.0,2546981.0,4105.0,55.0,6710.0
TPEx,2026-03-23,1,6187,萬潤,11473762000.0,13454000.0,830.0,11.0,11093.0
TPEx,2026-03-23,2,4991,環宇-KY,10431569500.0,25086000.0,385.0,-42.0,19071.0
TPEx,2026-03-23,3,3105,穩懋,8866760500.0,27680000.0,315.0,-29.0,17053.0
TPEx,2026-03-23,4,4979,華星光,8586604000.0,21393000.0,380.0,-24.5,16326.0
TPEx,2026-03-23,5,8299,群聯,8408340000.0,4627000.0,1800.0,-115.0,3585.0
TPEx,2026-03-23,6,6274,台燿,7414334000.0,13695000.0,538.0,-16.0,10201.0
TPEx,2026-03-23,7,1815,富喬,6009258900.0,60627000.0,103.5,1.5,34236.0
TPEx,2026-03-23,8,3363,上詮,4722112000.0,6887000.0,661.0,-73.0,5531.0
TPEx,2026-03-23,9,6223,旺矽,4666810000.0,1251000.0,3715.0,-145.0,1161.0
TPEx,2026-03-23,10,8358,金居,3956853500.0,17489000.0,222.5,-23.0,12261.0
TPEx,2026-03-23,11,3324,雙鴻,3620659000.0,3585000.0,1005.0,-60.0,3046.0
TPEx,2026-03-23,12,3260,威剛,3484301500.0,8402000.0,412.0,-45.5,5729.0
TPEx,2026-03-23,13,3587,閎康,3217382500.0,13047000.0,245.5,16.0,8249.0
TPEx,2026-03-23,14,3131,弘塑,3184865000.0,1304000.0,2435.0,70.0,1202.0
TPEx,2026-03-23,15,3211,順達,2928584500.0,9494000.0,300.5,-24.5,6963.0
TPEx,2026-03-23,16,3289,宜特,2746020000.0,18552000.0,148.0,9.0,10441.0
TPEx,2026-03-23,17,3529,力旺,2485475000.0,961000.0,2600.0,-100.0,856.0
TPEx,2026-03-23,18,8096,擎亞,2407253200.0,27678000.0,86.8,-0.3,15701.0
TPEx,2026-03-23,19,5536,聖暉*,2318948000.0,3192000.0,723.0,11.0,2719.0
TPEx,2026-03-23,20,6510,精測,2113695000.0,613000.0,3410.0,-190.0,552.0
TWSE,2026-03-23,1,2330,台積電,75569592075.0,41950478.0,1810.0,30.0,360785.0
TWSE,2026-03-23,2,2308,台達電,19509468500.0,13897471.0,1410.0,65.0,49151.0
TWSE,2026-03-23,3,2408,南亞科,17541630989.0,78708847.0,223.0,11.0,67346.0
TWSE,2026-03-23,4,0050,元大台灣50,17256278289.0,233385121.0,74.25,1.65,340169.0
TWSE,2026-03-23,5,6770,力積電,17144692269.0,243486481.0,69.1,6.4,129519.0
TWSE,2026-03-23,6,2344,華邦電,15752298942.0,148725825.0,107.5,2.5,85009.0
TWSE,2026-03-23,7,2317,鴻海,15385926618.0,78470506.0,196.0,7.0,121660.0
TWSE,2026-03-23,8,2313,華通,14799641618.0,66884183.0,216.0,6.0,55563.0
TWSE,2026-03-23,9,2454,聯發科,11746298935.0,7225878.0,1625.0,75.0,47119.0
TWSE,2026-03-23,10,3017,奇鋐,10003165310.0,5032899.0,1995.0,55.0,17344.0
TWSE,2026-03-23,11,2383,台光電,9802872375.0,3517744.0,2795.0,15.0,12041.0
